tick,wall_time
457,9.148592
458,9.168703
459,9.188662
460,9.208330
461,9.228259
462,9.248642
463,9.268761
464,9.288441
465,9.307988
466,9.330434
467,9.350190
468,9.369860
469,9.389528
470,9.409151
471,9.428794
472,9.448788
473,9.468553
474,9.488500
475,9.508259
476,9.527853
477,9.550522
478,9.570416
479,9.589340
480,9.609186
481,9.629154
482,9.650064
483,9.670012
484,9.690933
485,9.707831
486,9.730978
487,9.747819
488,9.771226
489,9.789909
490,9.810495
491,9.828032
492,9.848120
493,9.868288
494,9.888140
495,9.908772
496,9.928939
497,9.950385
498,9.969445
499,9.989311
500,10.010040
501,10.030190
502,10.053410
503,10.067960
504,10.090220
505,10.108020
506,10.128770
507,10.147890
508,10.168450
509,10.189960
510,10.209920
511,10.230030
512,10.250400
513,10.269270
514,10.288210
515,10.308720
516,10.328670
517,10.348050
518,10.368200
519,10.389540
520,10.408930
521,10.428530
